Id,ProductCategoryId,Name,Description,Price,StockQuantity,Photo,Notes,Model,CreatedDate,ModifiedDate
101,1,Quantum AI Processor,A next-generation processor for advanced AI computations,2499.99,50,quantum_ai_processor.jpg,,QUANTUM_AI_PROCESSOR_MODEL,2025-07-28,2025-07-28
102,2,SkyNet Drone,A high-endurance drone with real-time AI analytics capabilities,4999.99,20,skynet_drone.jpg,,SKYNET_DRONE_MODEL,2025-07-28,2025-07-28
103,3,Home AI Butler,An AI-powered device that manages your smart home ecosystem,799.99,100,home_ai_butler.jpg,,HOME_AI_BUTLER_MODEL,2025-07-28,2025-07-28
104,1,AI Chipset Max,Advanced chipset designed for deep learning operations,1299.99,75,ai_chipset_max.jpg,,AI_CHIPSET_MAX_MODEL,2025-07-28,2025-07-28
105,2,Eagle Eye Drone,Drone with enhanced vision AI for precision surveillance,3500.00,30,eagle_eye_drone.jpg,,EAGLE_EYE_DRONE_MODEL,2025-07-28,2025-07-28
106,3,AI Coffee Maker,Smart coffee maker with personalized AI taste calibration,299.99,200,ai_coffee_maker.jpg,,AI_COFFEE_MAKER_MODEL,2025-07-28,2025-07-28
107,1,Neural Net Core,Processor that mimics human brain neural networks,3199.99,40,neural_net_core.jpg,,NEURAL_NET_CORE_MODEL,2025-07-28,2025-07-28
108,2,Aqua Scout Drone,Water-resistant drone with AI for marine research,2800.00,15,aqua_scout_drone.jpg,,AQUA_SCOUT_DRONE_MODEL,2025-07-28,2025-07-28
109,3,AI Fitness Coach,Wearable device with AI for personalized fitness coaching,499.99,150,ai_fitness_coach.jpg,,AI_FITNESS_COACH_MODEL,2025-07-28,2025-07-28
110,1,Quantum Data Server,High-speed server optimized for quantum AI calculations,10000.00,10,quantum_data_server.jpg,,QUANTUM_DATA_SERVER_MODEL,2025-07-28,2025-07-28
111,2,Strato Climber Drone,High-altitude drone with AI for atmospheric studies,4200.00,25,strato_climber_drone.jpg,,STRATO_CLIMBER_DRONE_MODEL,2025-07-28,2025-07-28
112,3,AI Smart Lock,Home security lock with facial recognition AI technology,249.99,300,ai_smart_lock.jpg,,AI_SMART_LOCK_MODEL,2025-07-28,2025-07-28
113,1,AI Dev Kit,Development kit with AI modules for tech enthusiasts,599.99,120,ai_dev_kit.jpg,,AI_DEV_KIT_MODEL,2025-07-28,2025-07-28
114,2,Night Hawk Drone,Stealth drone with AI for nocturnal monitoring,3800.00,18,night_hawk_drone.jpg,,NIGHT_HAWK_DRONE_MODEL,2025-07-28,2025-07-28
115,3,AI Pet Companion,AI device that interacts and cares for your pets,349.99,80,ai_pet_companion.jpg,,AI_PET_COMPANION_MODEL,2025-07-28,2025-07-28
116,1,AI Supercomputer,Supercomputer with AI for complex problem solving,15000.00,5,ai_supercomputer.jpg,,AI_SUPERCOMPUTER_MODEL,2025-07-28,2025-07-28
117,2,Recon Scout Drone,Compact drone with AI for tactical reconnaissance,3100.00,22,recon_scout_drone.jpg,,RECON_SCOUT_DRONE_MODEL,2025-07-28,2025-07-28
118,3,AI Thermostat,Intelligent thermostat with AI for energy optimization,199.99,250,ai_thermostat.jpg,,AI_THERMOSTAT_MODEL,2025-07-28,2025-07-28
119,1,AI Crypto Miner,Dedicated AI system for efficient cryptocurrency mining,4500.00,60,ai_crypto_miner.jpg,,AI_CRYPTO_MINER_MODEL,2025-07-28,2025-07-28
120,2,Forest Ranger Drone,AI drone for monitoring wildlife and forest health,3600.00,28,forest_ranger_drone.jpg,,FOREST_RANGER_DRONE_MODEL,2025-07-28,2025-07-28
121,3,AI Language Tutor,AI-powered device for learning new languages,399.99,90,ai_language_tutor.jpg,,AI_LANGUAGE_TUTOR_MODEL,2025-07-28,2025-07-28
122,1,AI Genome Analyzer,AI system for rapid genome sequencing and analysis,7500.00,35,ai_genome_analyzer.jpg,,AI_GENOME_ANALYZER_MODEL,2025-07-28,2025-07-28
123,2,Urban Explorer Drone,Drone with AI for urban mapping and exploration,3300.00,12,urban_explorer_drone.jpg,,URBAN_EXPLORER_DRONE_MODEL,2025-07-28,2025-07-28
